"origin";"destination";"amount";"token";"accepted";"timeSetup";"timeAccepted"
"";"555555555";50.0;"d8ea5b17-8bdb-4432-bfc6-df4c46a1362a";0;"2023-03-02 17:25:43";""
"555555555";"444444444";208.0;"token-1q2w3e4r5t";0;"2023-02-16 11:14:38";""
"555555555";"444444444";12.0;"token-2q2w3e4r5t";0;"2023-02-16 12:26:38";""
"555555555";"333333333";14.0;"token-3q2w3e4r5t";0;"2023-02-16 13:42:38";""
"444444444";"555555555";150.0;"token-4q2w3e4r5t";0;"2023-02-16 14:11:38";""
"333333333";"555555555";1.0;"token-5q2w3e4r5t";0;"2023-02-16 15:26:38";""
"666666666";"333333333";19.0;"token-6q2w3e4r5t";0;"2023-02-16 16:28:38";""
"444444444";"111111111";90.0;"token-7q2w3e4r5t";0;"2023-02-16 17:58:38";""
"444444444";"111111111";50.0;"token-8q2w3e4r5t";0;"2023-02-16 18:58:38";""
"111111111";"444444444";99.0;"token-9q2w3e4r5t";0;"2023-02-16 23:28:38";""
